"","state_code","school_code","people","year","acs_state_name"
"1",1,1,157760,2008,"alabama"
"2",1,2,68566,2008,"alabama"
"3",1,3,69354,2008,"alabama"
"4",1,4,63730,2008,"alabama"
"5",1,5,64646,2008,"alabama"
"6",1,6,76576,2008,"alabama"
"7",1,7,68961,2008,"alabama"
"8",1,8,67944,2008,"alabama"
"9",1,9,106155,2008,"alabama"
"10",1,10,94355,2008,"alabama"
"11",1,11,131384,2008,"alabama"
"12",1,12,156907,2008,"alabama"
"13",1,13,192859,2008,"alabama"
"14",1,14,199464,2008,"alabama"
"15",1,15,66571,2008,"alabama"
"16",1,16,923427,2008,"alabama"
"17",1,17,195982,2008,"alabama"
"18",1,18,236690,2008,"alabama"
"19",1,19,596737,2008,"alabama"
"20",1,20,229279,2008,"alabama"
"21",1,21,473910,2008,"alabama"
"22",1,22,176362,2008,"alabama"
"23",1,23,39669,2008,"alabama"
"24",1,24,23437,2008,"alabama"
"25",1,NA,181175,2008,"alabama"
"26",2,1,19311,2008,"alaska"
"27",2,2,10015,2008,"alaska"
"28",2,3,10127,2008,"alaska"
"29",2,4,7290,2008,"alaska"
"30",2,5,12238,2008,"alaska"
"31",2,6,10172,2008,"alaska"
"32",2,7,10515,2008,"alaska"
"33",2,8,11162,2008,"alaska"
"34",2,9,12018,2008,"alaska"
"35",2,10,9725,2008,"alaska"
"36",2,11,16398,2008,"alaska"
"37",2,12,18068,2008,"alaska"
"38",2,13,16301,2008,"alaska"
"39",2,14,25212,2008,"alaska"
"40",2,15,7135,2008,"alaska"
"41",2,16,123271,2008,"alaska"
"42",2,17,26314,2008,"alaska"
"43",2,18,44252,2008,"alaska"
"44",2,19,108487,2008,"alaska"
"45",2,20,35684,2008,"alaska"
"46",2,21,78686,2008,"alaska"
"47",2,22,27978,2008,"alaska"
"48",2,23,7714,2008,"alaska"
"49",2,24,5683,2008,"alaska"
"50",2,NA,32537,2008,"alaska"
"51",4,1,290117,2008,"arkansas"
"52",4,2,88712,2008,"arkansas"
"53",4,3,97234,2008,"arkansas"
"54",4,4,99140,2008,"arkansas"
"55",4,5,97772,2008,"arkansas"
"56",4,6,118197,2008,"arkansas"
"57",4,7,108174,2008,"arkansas"
"58",4,8,108884,2008,"arkansas"
"59",4,9,194023,2008,"arkansas"
"60",4,10,117538,2008,"arkansas"
"61",4,11,176332,2008,"arkansas"
"62",4,12,191915,2008,"arkansas"
"63",4,13,203149,2008,"arkansas"
"64",4,14,217101,2008,"arkansas"
"65",4,15,105787,2008,"arkansas"
"66",4,16,1048165,2008,"arkansas"
"67",4,17,189035,2008,"arkansas"
"68",4,18,381188,2008,"arkansas"
"69",4,19,906553,2008,"arkansas"
"70",4,20,354033,2008,"arkansas"
"71",4,21,704833,2008,"arkansas"
"72",4,22,274947,2008,"arkansas"
"73",4,23,68288,2008,"arkansas"
"74",4,24,43533,2008,"arkansas"
"75",4,NA,315530,2008,"arkansas"
"76",5,1,106759,2008,"california"
"77",5,2,46370,2008,"california"
"78",5,3,38151,2008,"california"
"79",5,4,40702,2008,"california"
"80",5,5,45695,2008,"california"
"81",5,6,46585,2008,"california"
"82",5,7,42960,2008,"california"
"83",5,8,46284,2008,"california"
"84",5,9,56520,2008,"california"
"85",5,10,51561,2008,"california"
"86",5,11,90893,2008,"california"
"87",5,12,89088,2008,"california"
"88",5,13,103708,2008,"california"
"89",5,14,123181,2008,"california"
"90",5,15,43236,2008,"california"
"91",5,16,636879,2008,"california"
"92",5,17,125942,2008,"california"
"93",5,18,164483,2008,"california"
"94",5,19,356547,2008,"california"
"95",5,20,115756,2008,"california"
"96",5,21,250463,2008,"california"
"97",5,22,84226,2008,"california"
"98",5,23,24296,2008,"california"
"99",5,24,12814,2008,"california"
"100",5,NA,112291,2008,"california"
"101",6,1,1595099,2008,"colorado"
"102",6,2,528645,2008,"colorado"
"103",6,3,508670,2008,"colorado"
"104",6,4,539412,2008,"colorado"
"105",6,5,595095,2008,"colorado"
"106",6,6,707920,2008,"colorado"
"107",6,7,636723,2008,"colorado"
"108",6,8,671909,2008,"colorado"
"109",6,9,1420578,2008,"colorado"
"110",6,10,685683,2008,"colorado"
"111",6,11,907102,2008,"colorado"
"112",6,12,1104645,2008,"colorado"
"113",6,13,1043206,2008,"colorado"
"114",6,14,1298210,2008,"colorado"
"115",6,15,766057,2008,"colorado"
"116",6,16,5479689,2008,"colorado"
"117",6,17,590319,2008,"colorado"
"118",6,18,1790358,2008,"colorado"
"119",6,19,4995308,2008,"colorado"
"120",6,20,1982498,2008,"colorado"
"121",6,21,4730310,2008,"colorado"
"122",6,22,1681340,2008,"colorado"
"123",6,23,538615,2008,"colorado"
"124",6,24,339494,2008,"colorado"
"125",6,NA,1619781,2008,"colorado"
"126",8,1,171827,2008,"delaware"
"127",8,2,83633,2008,"delaware"
"128",8,3,72832,2008,"delaware"
"129",8,4,64851,2008,"delaware"
"130",8,5,74044,2008,"delaware"
"131",8,6,66149,2008,"delaware"
"132",8,7,72067,2008,"delaware"
"133",8,8,76600,2008,"delaware"
"134",8,9,110877,2008,"delaware"
"135",8,10,83074,2008,"delaware"
"136",8,11,110943,2008,"delaware"
"137",8,12,124450,2008,"delaware"
"138",8,13,126025,2008,"delaware"
"139",8,14,144267,2008,"delaware"
"140",8,15,56808,2008,"delaware"
"141",8,16,743897,2008,"delaware"
"142",8,17,145395,2008,"delaware"
"143",8,18,256662,2008,"delaware"
"144",8,19,673082,2008,"delaware"
"145",8,20,264473,2008,"delaware"
