"","state_code","school_code","people","year","acs_state_name"
"1",1,1,157760,2008,"alabama"
"2",1,2,68566,2008,"alabama"
"3",1,3,69354,2008,"alabama"
"4",1,4,63730,2008,"alabama"
"5",1,5,64646,2008,"alabama"
"6",1,6,76576,2008,"alabama"
"7",1,7,68961,2008,"alabama"
"8",1,8,67944,2008,"alabama"
"9",1,9,106155,2008,"alabama"
"10",1,10,94355,2008,"alabama"
"11",1,11,131384,2008,"alabama"
"12",1,12,156907,2008,"alabama"
"13",1,13,192859,2008,"alabama"
"14",1,14,199464,2008,"alabama"
"15",1,15,66571,2008,"alabama"
"16",1,16,923427,2008,"alabama"
"17",1,17,195982,2008,"alabama"
"18",1,18,236690,2008,"alabama"
"19",1,19,596737,2008,"alabama"
"20",1,20,229279,2008,"alabama"
"21",1,21,473910,2008,"alabama"
"22",1,22,176362,2008,"alabama"
"23",1,23,39669,2008,"alabama"
"24",1,24,23437,2008,"alabama"
"25",1,NA,181175,2008,"alabama"
"26",1,NA,181833,2010,"alabama"
"27",1,NA,174466,2012,"alabama"
"28",1,7,71607,2009,"alabama"
"29",1,8,74966,2009,"alabama"
"30",1,9,98223,2009,"alabama"
"31",1,10,96834,2009,"alabama"
"32",1,11,124990,2009,"alabama"
"33",1,12,157908,2009,"alabama"
"34",1,13,183200,2009,"alabama"
"35",1,14,196785,2009,"alabama"
"36",1,15,69204,2009,"alabama"
"37",1,16,915574,2009,"alabama"
"38",1,17,196668,2009,"alabama"
"39",1,18,240392,2009,"alabama"
"40",1,19,643376,2009,"alabama"
"41",1,20,231350,2009,"alabama"
"42",1,21,475448,2009,"alabama"
"43",1,22,169955,2009,"alabama"
"44",1,23,43609,2009,"alabama"
"45",1,24,25733,2009,"alabama"
"46",1,NA,182712,2009,"alabama"
"47",1,NA,173221,2011,"alabama"
"48",1,NA,172591,2013,"alabama"
"49",1,7,68744,2010,"alabama"
"50",1,8,72841,2010,"alabama"
"51",1,9,106521,2010,"alabama"
"52",1,10,104229,2010,"alabama"
"53",1,11,118331,2010,"alabama"
"54",1,12,162236,2010,"alabama"
"55",1,13,190137,2010,"alabama"
"56",1,14,200239,2010,"alabama"
"57",1,15,74674,2010,"alabama"
"58",1,16,949084,2010,"alabama"
"59",1,17,194035,2010,"alabama"
"60",1,18,227764,2010,"alabama"
"61",1,19,650495,2010,"alabama"
"62",1,1,168835,2009,"alabama"
"63",1,2,70897,2009,"alabama"
"64",1,3,66133,2009,"alabama"
"65",1,4,60275,2009,"alabama"
"66",1,5,71355,2009,"alabama"
"67",1,6,72679,2009,"alabama"
"68",1,5,66380,2011,"alabama"
"69",1,6,66546,2011,"alabama"
"70",1,7,73869,2011,"alabama"
"71",1,8,71585,2011,"alabama"
"72",1,9,92118,2011,"alabama"
"73",1,10,96664,2011,"alabama"
"74",1,11,132771,2011,"alabama"
"75",1,12,152178,2011,"alabama"
"76",1,13,197800,2011,"alabama"
"77",1,14,194039,2011,"alabama"
"78",1,15,69699,2011,"alabama"
"79",1,16,933658,2011,"alabama"
"80",1,17,186944,2011,"alabama"
"81",1,18,251991,2011,"alabama"
"82",1,19,667822,2011,"alabama"
"83",1,1,170007,2010,"alabama"
"84",1,2,70965,2010,"alabama"
"85",1,3,67985,2010,"alabama"
"86",1,4,63637,2010,"alabama"
"87",1,5,63276,2010,"alabama"
"88",1,6,74812,2010,"alabama"
"89",1,5,70131,2012,"alabama"
"90",1,6,76350,2012,"alabama"
"91",1,7,63131,2012,"alabama"
"92",1,8,77618,2012,"alabama"
"93",1,9,97322,2012,"alabama"
"94",1,10,92392,2012,"alabama"
"95",1,11,124581,2012,"alabama"
"96",1,12,138021,2012,"alabama"
"97",1,13,180001,2012,"alabama"
"98",1,14,184551,2012,"alabama"
"99",1,15,70725,2012,"alabama"
"100",1,16,949339,2012,"alabama"
"101",1,17,193153,2012,"alabama"
"102",1,20,245525,2010,"alabama"
"103",1,21,469505,2010,"alabama"
"104",1,22,185839,2010,"alabama"
"105",1,23,43775,2010,"alabama"
"106",1,24,28809,2010,"alabama"
"107",1,24,30469,2012,"alabama"
"108",1,3,66023,2013,"alabama"
"109",1,4,59616,2013,"alabama"
"110",1,5,66864,2013,"alabama"
"111",1,6,69431,2013,"alabama"
"112",1,7,68150,2013,"alabama"
"113",1,8,74877,2013,"alabama"
"114",1,9,91548,2013,"alabama"
"115",1,10,94043,2013,"alabama"
"116",1,11,124970,2013,"alabama"
"117",1,12,146068,2013,"alabama"
"118",1,13,185057,2013,"alabama"
"119",1,14,184888,2013,"alabama"
"120",1,15,71221,2013,"alabama"
"121",1,16,950094,2013,"alabama"
"122",1,17,192440,2013,"alabama"
"123",1,20,253266,2011,"alabama"
"124",1,21,473291,2011,"alabama"
"125",1,22,197430,2011,"alabama"
"126",1,23,44456,2011,"alabama"
"127",1,24,33434,2011,"alabama"
"128",1,24,32169,2013,"alabama"
"129",1,18,246606,2012,"alabama"
"130",1,19,669958,2012,"alabama"
"131",1,1,173156,2011,"alabama"
"132",1,2,70659,2011,"alabama"
"133",1,3,66442,2011,"alabama"
"134",1,4,63321,2011,"alabama"
"135",1,23,50169,2012,"alabama"
"136",1,2,69303,2013,"alabama"
"137",1,18,246957,2013,"alabama"
"138",1,19,665870,2013,"alabama"
"139",1,1,174910,2012,"alabama"
"140",1,2,66430,2012,"alabama"
"141",1,3,64107,2012,"alabama"
"142",1,4,62256,2012,"alabama"
"143",1,23,46943,2013,"alabama"
"144",1,1,174367,2013,"alabama"
