"state_code","school_code","people","year"
1,1,173156,2011
1,2,70659,2011
1,3,66442,2011
1,4,63321,2011
1,5,66380,2011
1,6,66546,2011
1,7,73869,2011
1,8,71585,2011
1,9,92118,2011
1,10,96664,2011
1,11,132771,2011
1,12,152178,2011
1,13,197800,2011
1,14,194039,2011
1,15,69699,2011
1,16,933658,2011
1,17,186944,2011
1,18,251991,2011
1,19,667822,2011
1,20,253266,2011
1,21,473291,2011
1,22,197430,2011
1,23,44456,2011
1,24,33434,2011
1,NA,173221,2011
2,1,25716,2011
2,2,9989,2011
2,3,14484,2011
2,4,9525,2011
2,5,9605,2011
2,6,12966,2011
2,7,9905,2011
2,8,11311,2011
2,9,13418,2011
2,10,9428,2011
2,11,18641,2011
2,12,12062,2011
2,13,16862,2011
2,14,23787,2011
2,15,6495,2011
2,16,136777,2011
2,17,27179,2011
2,18,45387,2011
2,19,118938,2011
2,20,36061,2011
2,21,74682,2011
2,22,32229,2011
2,23,10076,2011
2,24,5403,2011
2,NA,31792,2011
4,1,265727,2011
4,2,79174,2011
4,3,100348,2011
4,4,95502,2011
4,5,99246,2011
4,6,104510,2011
4,7,106518,2011
4,8,106565,2011
4,9,160970,2011
4,10,108221,2011
4,11,162652,2011
4,12,176773,2011
4,13,184872,2011
4,14,218350,2011
4,15,108710,2011
4,16,1063052,2011
4,17,189306,2011
4,18,385306,2011
4,19,974973,2011
4,20,383903,2011
4,21,754208,2011
4,22,290185,2011
4,23,63118,2011
4,24,42966,2011
4,NA,257350,2011
5,1,108337,2011
5,2,44523,2011
5,3,39799,2011
5,4,36438,2011
5,5,45636,2011
5,6,48427,2011
5,7,43342,2011
5,8,50133,2011
5,9,56236,2011
5,10,64653,2011
5,11,86837,2011
5,12,82038,2011
5,13,100597,2011
5,14,106933,2011
5,15,42787,2011
5,16,651776,2011
5,17,129819,2011
5,18,156276,2011
5,19,390715,2011
5,20,126718,2011
5,21,273250,2011
5,22,100134,2011
5,23,25947,2011
5,24,15739,2011
5,NA,110889,2011
6,1,1652763,2011
6,2,538939,2011
6,3,527165,2011
6,4,562018,2011
6,5,589211,2011
6,6,718377,2011
6,7,638628,2011
6,8,682712,2011
6,9,1363912,2011
6,10,665179,2011
6,11,870857,2011
6,12,1114426,2011
6,13,988324,2011
6,14,1269229,2011
6,15,785865,2011
6,16,5742707,2011
6,17,607680,2011
6,18,1810646,2011
6,19,5285296,2011
6,20,2063950,2011
6,21,5013667,2011
6,22,1821835,2011
6,23,555806,2011
6,24,353957,2011
6,NA,1468763,2011
8,1,170560,2011
8,2,81273,2011
8,3,74432,2011
8,4,68973,2011
8,5,76254,2011
8,6,81935,2011
8,7,79201,2011
8,8,73864,2011
8,9,107249,2011
8,10,68225,2011
8,11,100930,2011
8,12,121487,2011
8,13,122377,2011
8,14,140834,2011
8,15,66356,2011
8,16,749424,2011
8,17,150265,2011
8,18,282087,2011
8,19,700808,2011
8,20,302040,2011
8,21,839041,2011
8,22,336636,2011
8,23,71788,2011
8,24,53086,2011
8,NA,197671,2011
9,1,101753,2011
9,2,55543,2011
9,3,45297,2011
9,4,50947,2011
9,5,46290,2011
9,6,55981,2011
9,7,55585,2011
9,8,54119,2011
9,9,67650,2011
9,10,57473,2011
9,11,83924,2011
9,12,86320,2011
9,13,95047,2011
9,14,105024,2011
9,15,46444,2011
9,16,683571,2011
9,17,85802,2011
9,18,161323,2011
9,19,417906,2011
9,20,189204,2011
9,21,541858,2011
9,22,276515,2011
9,23,69160,2011
9,24,40507,2011
9,NA,107466,2011
10,1,28870,2011
10,2,15196,2011
10,3,9779,2011
10,4,11803,2011
10,5,13310,2011
10,6,13735,2011
10,7,15157,2011
10,8,12258,2011
10,9,14830,2011
10,10,16816,2011
10,11,20844,2011
10,12,19489,2011
10,13,29552,2011
10,14,30509,2011
10,15,12130,2011
10,16,195342,2011
10,17,22060,2011
10,18,47439,2011
10,19,116882,2011
10,20,48385,2011
10,21,110670,2011
10,22,50326,2011
10,23,10583,2011
10,24,9754,2011
10,NA,31416,2011
11,1,16141,2011
11,2,11749,2011
11,3,4580,2011
11,4,6003,2011
11,5,6364,2011
11,6,5895,2011
11,7,7902,2011
11,8,5627,2011
11,9,7886,2011
11,10,8229,2011
11,11,10508,2011
11,12,12675,2011
11,13,17543,2011
11,14,18685,2011
11,15,7355,2011
11,16,82020,2011
11,17,11900,2011
11,18,22132,2011
11,19,73600,2011
11,20,14543,2011
11,21,119431,2011
11,22,77796,2011
11,23,30464,2011
11,24,17521,2011
11,NA,21447,2011
12,1,627711,2011
12,2,280776,2011
12,3,233882,2011
12,4,231178,2011
12,5,241961,2011
12,6,261654,2011
12,7,269873,2011
12,8,285648,2011
12,9,396846,2011
12,10,305695,2011
12,11,420826,2011
12,12,476906,2011
12,13,543766,2011
12,14,596002,2011
12,15,356226,2011
12,16,3983190,2011
12,17,621167,2011
12,18,1024625,2011
12,19,2402400,2011
12,20,1311162,2011
12,21,2318077,2011
12,22,853659,2011
12,23,252914,2011
12,24,144298,2011
12,NA,617100,2011
13,1,361595,2011
13,2,170303,2011
13,3,155688,2011
13,4,144341,2011
13,5,140637,2011
13,6,161741,2011
13,7,164113,2011
13,8,181829,2011
13,9,229908,2011
13,10,188094,2011
13,11,247094,2011
13,12,310088,2011
13,13,343917,2011
13,14,356968,2011
13,15,133488,2011
13,16,1816315,2011
13,17,350273,2011
13,18,452920,2011
13,19,1249736,2011
13,20,449421,2011
13,21,1192133,2011
13,22,440458,2011
13,23,113865,2011
13,24,70682,2011
13,NA,389603,2011
15,1,42276,2011
15,2,17018,2011
15,3,16215,2011
15,4,21349,2011
15,5,15304,2011
15,6,17021,2011
15,7,21345,2011
15,8,15782,2011
15,9,30438,2011
15,10,20768,2011
15,11,28774,2011
15,12,28409,2011
15,13,31408,2011
15,14,30952,2011
15,15,16232,2011
15,16,291154,2011
15,17,26608,2011
15,18,61277,2011
15,19,199497,2011
15,20,104126,2011
15,21,194645,2011
15,22,63477,2011
15,23,18430,2011
15,24,10942,2011
15,NA,51363,2011
16,1,65244,2011
16,2,26870,2011
16,3,29864,2011
16,4,24125,2011
16,5,26830,2011
16,6,28991,2011
16,7,26634,2011
16,8,24553,2011
16,9,33818,2011
16,10,24570,2011
16,11,37484,2011
16,12,37838,2011
16,13,41274,2011
16,14,46801,2011
16,15,19610,2011
16,16,262281,2011
16,17,59662,2011
16,18,103043,2011
16,19,235527,2011
16,20,97820,2011
16,21,183965,2011
16,22,57198,2011
16,23,12546,2011
16,24,10143,2011
16,NA,68294,2011
17,1,429431,2011
17,2,211954,2011
17,3,186093,2011
17,4,172994,2011
17,5,189485,2011
17,6,196972,2011
17,7,188881,2011
17,8,201230,2011
17,9,307546,2011
17,10,199880,2011
17,11,345453,2011
17,12,303837,2011
17,13,366673,2011
17,14,403513,2011
17,15,179537,2011
17,16,2390868,2011
17,17,346018,2011
17,18,673310,2011
17,19,1624429,2011
17,20,690534,2011
17,21,1780385,2011
17,22,722286,2011
17,23,197833,2011
17,24,89535,2011
17,NA,470582,2011
18,1,235278,2011
18,2,102661,2011
18,3,93523,2011
18,4,89151,2011
18,5,96228,2011
18,6,92317,2011
18,7,98189,2011
18,8,100806,2011
18,9,114571,2011
18,10,105006,2011
18,11,180911,2011
18,12,170927,2011
18,13,224374,2011
18,14,234903,2011
18,15,79753,2011
18,16,1472724,2011
18,17,243298,2011
18,18,351251,2011
18,19,804452,2011
18,20,359386,2011
18,21,671242,2011
18,22,250351,2011
18,23,54902,2011
18,24,43684,2011
18,NA,247034,2011
19,1,90357,2011
19,2,54280,2011
19,3,47580,2011
19,4,37899,2011
19,5,45322,2011
19,6,37941,2011
19,7,43584,2011
19,8,43187,2011
19,9,47768,2011
19,10,44163,2011
19,11,78388,2011
19,12,57935,2011
19,13,76223,2011
19,14,84992,2011
19,15,34272,2011
19,16,666298,2011
19,17,88346,2011
19,18,190583,2011
19,19,381353,2011
19,20,242838,2011
19,21,382752,2011
19,22,115060,2011
19,23,32125,2011
19,24,21378,2011
19,NA,117685,2011
20,1,101606,2011
20,2,50544,2011
20,3,37868,2011
20,4,45279,2011
20,5,39115,2011
20,6,43405,2011
20,7,40259,2011
20,8,46099,2011
20,9,62080,2011
20,10,48982,2011
20,11,73388,2011
20,12,57170,2011
20,13,74981,2011
20,14,88071,2011
20,15,32341,2011
20,16,491467,2011
20,17,87466,2011
20,18,185013,2011
20,19,402273,2011
20,20,158919,2011
20,21,392571,2011
20,22,144539,2011
20,23,33042,2011
20,24,19298,2011
20,NA,115462,2011
21,1,159306,2011
21,2,65575,2011
21,3,58120,2011
21,4,63133,2011
21,5,56902,2011
21,6,63364,2011
21,7,64211,2011
21,8,69858,2011
21,9,77085,2011
21,10,79509,2011
21,11,162736,2011
21,12,130557,2011
21,13,157346,2011
21,14,158472,2011
21,15,52017,2011
21,16,913969,2011
21,17,227526,2011
21,18,246662,2011
21,19,545053,2011
21,20,222040,2011
21,21,381449,2011
21,22,180064,2011
21,23,46210,2011
21,24,25135,2011
21,NA,163057,2011
22,1,171198,2011
22,2,77919,2011
22,3,64245,2011
22,4,65319,2011
22,5,65127,2011
22,6,77807,2011
22,7,80076,2011
22,8,75603,2011
22,9,90834,2011
22,10,92814,2011
22,11,121184,2011
22,12,143730,2011
22,13,178652,2011
22,14,191051,2011
22,15,61083,2011
22,16,991068,2011
22,17,184827,2011
22,18,216736,2011
22,19,634081,2011
22,20,163482,2011
22,21,446539,2011
22,22,145178,2011
22,23,44023,2011
22,24,22684,2011
22,NA,169576,2011
23,1,38046,2011
23,2,15975,2011
23,3,19477,2011
23,4,15143,2011
23,5,15463,2011
23,6,15512,2011
23,7,14512,2011
23,8,17218,2011
23,9,17874,2011
23,10,16725,2011
23,11,32883,2011
23,12,30378,2011
23,13,33357,2011
23,14,36067,2011
23,15,10727,2011
23,16,311641,2011
23,17,49144,2011
23,18,69752,2011
23,19,156587,2011
23,20,90687,2011
23,21,184516,2011
23,22,68405,2011
23,23,17292,2011
23,24,11616,2011
23,NA,39191,2011
24,1,180471,2011
24,2,87183,2011
24,3,84290,2011
24,4,77417,2011
24,5,75471,2011
24,6,77296,2011
24,7,81400,2011
24,8,82972,2011
24,9,111019,2011
24,10,100276,2011
24,11,128922,2011
24,12,141273,2011
24,13,159545,2011
24,14,176167,2011
24,15,68735,2011
